broker,count,bamount,bcount,samount,scount,top3
华金证券股份有限公司杭州古墩路证券营业部,1,0.0,0,868.42,1,南洋股份
广发证券股份有限公司海口和平大道证券营业部,1,0.0,0,2329.73,1,杰瑞股份
平安证券股份有限公司深圳蛇口招商路招商大厦证券营业部,1,0.0,0,740.35,1,南洋股份
广发证券股份有限公司昆山前进东路证券营业部,2,404.47,1,849.09,1,"米奥兰特,杰瑞股份"
财通证券股份有限公司杭州上塘路证券营业部,18,11654.24,9,9226.07,9,"筑博设计,卓翼科技,宝鼎科技,"
光大证券股份有限公司湛江海滨大道南证券营业部,2,4281.23,2,0.0,0,"福莱特,卓翼科技"
国信证券股份有限公司珠海文园路五洲花城证券营业部,3,1424.21,1,1482.56,2,"宝鼎科技,贝斯美"
中信建投证券股份有限公司长沙芙蓉中路证券营业部,6,3742.0,4,1636.86,2,"深南股份,天夏智慧,卓翼科技,"
华鑫证券有限责任公司湖州劳动路浙北金融中心证券营业部,3,2407.8,1,4615.88,2,"广电计量,宝鼎科技"
川财证券有限责任公司射洪沱牌大道证券营业部,1,0.0,0,714.5,1,卓翼科技
华鑫证券有限责任公司上海淞滨路证券营业部,8,7093.21,3,11146.13,5,"金力永磁,宝鼎科技,北京君正,"
光大证券股份有限公司广州中山二路证券营业部,1,0.0,0,641.56,1,卓翼科技
中银国际证券股份有限公司上海畹町路证券营业部,1,0.0,0,602.7,1,卓翼科技
中信建投证券股份有限公司深圳深南中路证券营业部,1,0.0,0,491.71,1,卓翼科技
中泰证券股份有限公司上海陆家嘴浦电路证券营业部,1,122.08,1,0.0,0,长生退
华鑫证券有限责任公司上海松江证券营业部,1,49.8,1,0.0,0,长生退
中原证券股份有限公司漯河分公司,3,110.53,2,41.1,1,长生退
东吴证券股份有限公司苏州石路证券营业部,2,219.64,1,28.0,1,"新农股份,长生退"
湘财证券股份有限公司邵阳建设南路证券营业部,1,0.0,0,28.0,1,长生退
中信证券股份有限公司湖南分公司,3,96.3,1,66.35,2,长生退
中银国际证券股份有限公司武汉黄孝河路证券营业部,3,0.0,0,1322.11,3,"红宇新材,长生退"
