code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
002586,ST围海,0.18,143.85,,4.16,,18572.42,196.16,,10-30
601677,明泰铝业,0.68,17.24,,7.11,,39356.82,39.28,,10-30
601801,皖新传媒,0.55,5.77,,11.21,,109258.69,5.38,,10-30
600383,金地集团,1.16,132.0,,12.4,,524578.34,131.21,,10-30
300644,南京聚隆,0.24,-64.71,,2.36,,1465.43,-54.82,,10-30
000540,中天金融,0.68,91.3,,25.83,,473086.08,185.77,,10-30
000995,*ST皇台,-0.24,-36.84,,,,-4190.84,-37.82,,10-30
002313,日海智能,0.33,43.48,,5.07,,10314.13,46.4,,10-30
300026,红日药业,0.15,0.0,,7.07,,46323.28,2.73,,10-30
600058,五矿发展,-0.37,-1133.89,,-5.41,,-39568.36,-1133.93,,10-30
000590,启迪古汉,-0.05,-173.82,,-1.94,,-1120.86,-176.74,,10-30
002671,龙泉股份,0.04,-180.0,,0.91,,1916.91,-177.79,,10-30
600828,茂业商业,0.43,33.07,,13.4,,74070.82,33.06,10派2,10-30
002044,美年健康,0.13,44.44,,6.63,,41387.31,91.55,,10-30
600488,天药股份,0.1,11.83,,4.1,,11316.77,21.13,,10-30
600847,万里股份,-0.02,-228.5,,-0.56,,-379.77,-228.08,,10-30
603799,华友钴业,2.3,24.32,,27.18,,191184.69,74.14,,10-30
600865,百大集团,0.26,70.32,4.69,5.74,0.08,9935.14,70.89,,10-30
300419,浩丰科技,0.04,-66.67,,1.07,,1615.53,-62.91,,10-30
603825,华扬联众,0.31,6.9,,5.57,,7051.99,90.73,,10-30
600525,长园集团,0.98,102.36,,15.78,,127837.67,103.62,,10-30
002723,金莱特,-0.08,-196.37,,-2.22,,-1435.97,-196.41,,10-30
300112,万讯自控,0.16,-5.88,,4.87,,4598.13,4.45,,10-30
002739,万达电影,0.72,-33.13,,10.36,,126812.0,0.31,,10-30
600898,国美通讯,-0.41,389.87,,-25.36,,-10254.61,389.84,,10-30
002109,兴化股份,0.18,-2.49,,5.68,,18953.25,46.3,,10-30
000720,新能泰山,0.43,-195.86,,39.95,,55539.85,-195.85,,10-30
603178,圣龙股份,0.21,-38.24,,5.22,,4327.72,-31.38,,10-30
002774,快意电梯,0.08,-44.85,,2.79,,2808.7,-39.57,,10-30
603963,大理药业,0.04,-92.31,,1.17,,540.63,-86.15,,10-30
600598,北大荒,0.55,28.04,,15.35,,97395.8,27.97,,10-30
002791,坚朗五金,0.36,-37.93,,4.38,,11714.7,-36.98,,10-30
300176,派生科技,1.0,-61.77,,31.01,,38721.48,38.01,,10-30
603258,电魂网络,0.37,-37.29,,5.45,,8883.92,-37.71,,10-30
000796,凯撒旅游,0.38,-9.72,,14.52,,31169.89,-8.22,,10-30
002134,天津普林,-0.05,400.0,,-3.04,,-1311.4,540.41,,10-30
603189,网达软件,0.03,-66.67,,0.89,,713.88,-64.86,,10-30
002455,百川股份,0.17,-10.53,,6.58,,8863.04,0.86,,10-30
600590,泰豪科技,0.19,5.56,,4.24,,16104.33,33.63,,10-30
300169,天晟新材,0.01,11.54,,0.32,,378.3,12.06,,10-30
600212,江泉实业,-0.05,-208.74,,-3.69,,-2735.41,-208.59,,10-30
603980,吉华集团,1.1,57.14,,13.04,,54995.75,81.26,,10-30
600608,ST沪科,-0.01,-85.71,,,,-199.69,-91.35,,10-30
300185,通裕重工,0.05,25.0,,3.06,,15629.96,11.06,,10-30
601069,西部黄金,-0.05,-31.76,,-2.0,,-3320.38,-31.72,,10-30
603315,福鞍股份,0.04,-69.44,,0.82,,854.35,-64.51,,10-30
300525,博思软件,0.02,-91.56,,0.5,,240.11,-80.81,,10-30
002836,新宏泽,0.16,-11.11,,5.99,,2500.03,-12.88,,10-30
601127,小康股份,0.06,-89.09,,1.06,,4949.08,-89.91,,10-30
000040,东旭蓝天,1.05,333.88,,11.55,,140460.42,334.4,,10-30
000859,国风塑业,0.1,310.16,,4.84,,7462.07,310.24,,10-30
603368,柳药股份,1.51,-16.11,,10.76,,39080.93,34.94,,10-30
600287,江苏舜天,0.17,4.21,,4.13,,7349.42,4.15,,10-30
603421,鼎信通讯,0.45,-15.09,,8.79,,19755.23,-14.77,,10-30
